Rank,Institution,Conference,Division,Total_Points,Winter_Total ,Fall_Total
1,North Carolina,ACC,FBS,781.5,422.5,359
2,Stanford,ACC,FBS,746.25,399.75,346.5
3,Virginia,ACC,FBS,696.75,357.25,339.5
4,Princeton,Ivy League,FCS,679.5,414.5,265
5,Ohio State,Big Ten,FBS,664,517.5,146.5
6,Penn State,Big Ten,FBS,645,405.5,239.5
7,Notre Dame,ACC,FBS,644,343,301
8,Duke,ACC,FBS,638.5,381.5,257
9,Michigan,Big Ten,FBS,624,454,170
10,Texas,SEC,FBS,589.5,426.5,163
11,Alabama,SEC,FBS,589.25,338.25,251
12,North Carolina State,ACC,FBS,549.5,314.5,235
13,Iowa,Big Ten,FBS,541.5,389.5,152
14,Louisville,ACC,FBS,538,331,207
15,Wisconsin,Big Ten,FBS,526,290,236
16,Texas A&M,SEC,FBS,507,266.5,240.5
17,Florida,SEC,FBS,491.75,366.75,125
18,Minnesota,Big Ten,FBS,487.25,350.25,137
19,Kentucky,SEC,FBS,485,345,140
20,Nebraska,Big Ten,FBS,484.25,386.25,98
21,BYU,Big 12,FBS,479.25,169.75,309.5
22,UCLA,Big Ten,FBS,473.5,248.5,225
23,Oregon,Big Ten,FBS,470,230,240
24,Georgia,SEC,FBS,469,319,150
25,USC,Big Ten,FBS,463,270,193
26,Indiana,Big Ten,FBS,460.5,246.5,214
27,Harvard,Ivy League,FCS,459.5,306.5,153
28,Tennessee,SEC,FBS,447,301,146
29,Iowa State,Big 12,FBS,437.75,248.75,189
30,Washington,Big Ten,FBS,431.75,158.75,273
31,Arkansas,SEC,FBS,424,290,134
32,TCU,Big 12,FBS,420,242,178
33,Illinois,Big Ten,FBS,398.5,324.5,74
34,West Virginia,Big 12,FBS,393,224,169
35,Ole Miss,SEC,FBS,392.75,255.75,137
36,Uconn,Big East,FBS,387,233,154
37,Colorado,Big 12,FBS,380.5,136,244.5
38,LSU,SEC,FBS,380,240,140
38,Northwestern,Big Ten,FBS,380,154,226
40,Oklahoma State,Big 12,FBS,372,207.5,164.5
41,South Carolina,SEC,FBS,371,286,85
42,Yale,Ivy League,FCS,369,216,153
43,Texas Tech,Big 12,FBS,352.5,230.5,122
44,Pennsylvania,Ivy League,FCS,320,320,0
45,Purdue,Big Ten,FBS,318,245,73
46,Vanderbilt,SEC,FBS,315,154,161
47,New Mexico,Mountain West,FBS,314.75,119.75,195
48,Arizona,Big 12,FBS,305.5,230.5,75
48,Virginia Tech,ACC,FBS,305.5,244,61.5
50,Utah,Big 12,FBS,303,159.5,143.5
51,Oklahoma,SEC,FBS,301.5,174,127.5
52,Miami (FL),ACC,FBS,299,159,140
53,Kansas,Big 12,FBS,295.5,167.5,128
54,Pittsburgh,ACC,FBS,267.75,159.75,108
55,Arizona State,Big 12,FBS,267,178,89
56,Michigan State,ACC,FBS,266,114,152
57,Villanova,Big 12,FCS,265,106,159
58,Wake Forest,Big East,FBS,257.5,0,257.5
59,Baylor,ACC,FBS,255,141,114
60,Syracuse,Big 12,FBS,248,50,198
61,SMU,ACC,FBS,243,56,187
62,Georgetown,Big East,FCS,242.5,242.5,0
63,Florida State,ACC,FBS,241.5,141.5,100
64,Columbia,Ivy League,FCS,237,237,0
65,Auburn,SEC,FBS,235.5,235.5,0
66,Northern Arizona,Big Sky,FCS,235,94,141
67,Missouri,SEC,FBS,233.5,162.5,71
68,St. John's (NY),Big East,DI,222,197,25
69,Clemson,ACC,FBS,216.75,116.75,100
70,Washington State,Pac-12,FBS,215.5,66.5,149
71,Air Force,Mountain West,FBS,215,161,54
72,High Point,Big South,DI,214.5,100.5,114
73,California,ACC,FBS,211.5,186.5,25
74,Kansas State,Big 12,FBS,199.5,149.5,50
75,Lehigh,Patriot,FCS,190,137,53
76,Montana State,Big Sky,FCS,180,80,100
77,Cornell,Ivy League,FCS,169,119,50
78,Army West Point,Patriot,FBS,165,67,98
78,Boston College,ACC,FBS,165,120,45
80,Maryland,Big Ten,FBS,164,91,73
81,Tarleton State,WAC,FCS,162.5,92.5,70
82,South Dakota State,Summit,FCS,162,59,103
83,Navy,Patriot,FBS,159,81,78
84,Utah State,Mountain West,FBS,150,50,100
84,Vermont,America East,DI,150,100,50
86,UCF,Big 12,FBS,148.5,48.5,100
87,Northern Iowa,Missouri Valley,FCS,147.5,97.5,50
88,Houston,Big 12,FBS,142,87,55
