Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23
,,,,Final,,W. CC,M. CC,,W. FH,,FBS FB,,FCS FB,,W. SOC,,M. SOC,,W. VB,,,M. WP
Rank,Institution,Conference,Division,Fall,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
1,North Carolina,ACC,FBS,359.00,11,66,28,46,3,83,0,0,0,0,9,64,17,50,17,50,0,0
2,Stanford,ACC,FBS,346.50,6,73.5,0,0,0,0,0,0,0,0,2,90,9,64,9,64,3,55
3,Virginia,ACC,FBS,339.50,24,50,7,72,9,45,16,58.5,0,0,9,64,17,50,0,0,0,0
5,Notre Dame,ACC,FBS,301.00,7,72,13,63,0,0,11,66,0,0,17,50,17,50,0,0,0,0
8,Wake Forest,ACC,FBS,257.50,21,53,12,64.5,9,45,26,45,0,0,17,50,0,0,0,0,0,0
9,Duke,ACC,FBS,257.00,0,0,0,0,5,65,26,45,0,0,3,83,9,64,0,0,0,0
17,North Carolina State,ACC,FBS,235.00,1,100,0,0,0,0,26,45,0,0,0,0,2,90,0,0,5,25
21,Louisville,ACC,FBS,207.00,0,0,26,48,0,0,26,45,0,0,17,50,0,0,9,64,0,0
22,Syracuse,ACC,FBS,198.00,33,28,4,80,5,65,0,0,0,0,0,0,33,25,0,0,0,0
26,SMU,ACC,FBS,187.00,33,28,0,0,0,0,26,45,0,0,0,0,17,50,9,64,0,0
45,Miami (FL),ACC,FBS,140.00,0,0,0,0,0,0,2,90,0,0,0,0,0,0,17,50,0,0
60,Pittsburgh,ACC,FBS,108.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,3,83,0,0
64,Clemson,ACC,FBS,100.00,0,0,0,0,0,0,54,25,0,0,17,50,33,25,0,0,0,0
64,Florida State,ACC,FBS,100.00,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
84,Georgia Tech,ACC,FBS,75.00,0,0,0,0,0,0,24,50,0,0,0,0,0,0,33,25,0,0
111,Virginia Tech,ACC,FBS,61.50,0,0,14,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Boston College,ACC,FBS,45.00,29,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,California,ACC,FBS,25.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,0,0,0,0
96,New Hampshire,America East,FCS,70.00,0,0,0,0,9,45,0,0,17,25,0,0,0,0,0,0,1,100
107,Bryant,America East,FCS,64.00,0,0,0,0,0,0,0,0,0,0,0,0,9,64,0,0,0,0
126,Vermont,America East,DI,50.00,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0
154,Maine,America East,FCS,25.00,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0
154,UMBC,America East,DI,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0
48,Tulane,American,FBS,137.00,33,28,21,53,0,0,18,56,0,0,0,0,0,0,0,0,2,90
84,Memphis,American,FBS,75.00,0,0,0,0,0,0,54,25,0,0,17,50,0,0,0,0,0,0
96,UTSA,American,FBS,70.00,0,0,0,0,0,0,26,45,0,0,33,25,0,0,0,0,0,0
124,Tulsa,American,FBS,52.00,0,0,33,27,0,0,0,0,0,0,0,0,0,0,33,25,0,0
126,Rice,American,FBS,50.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,33,25,0,0
126,South Florida,American,FBS,50.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,33,25,0,0
140,East Carolina,American,FBS,45.00,0,0,0,0,0,0,26,45,0,0,0,0,0,0,0,0,0,0
140,North Texas,American,FBS,45.00,0,0,0,0,0,0,26,45,0,0,0,0,0,0,0,0,0,0
154,FAU,American,FBS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0
83,Lipscomb,ASUN,DI,77.00,0,0,33,27,0,0,0,0,0,0,17,50,0,0,0,0,0,0
105,Eastern Kentucky,ASUN,FCS,69.00,0,0,9,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Central Arkansas,ASUN,FCS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0
154,North Florida,ASUN,DI,25.00,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0
78,Saint Louis,Atlantic 10,DI,83.00,0,0,0,0,0,0,0,0,0,0,0,0,3,83,0,0,0,0
113,Fordham,Atlantic 10,FCS,55.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Rhode Island,Atlantic 10,FCS,53.00,0,0,0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0
124,Loyola Chicago,Atlantic 10,DI,52.00,0,0,33,27,0,0,0,0,0,0,0,0,0,0,33,25,0,0
140,Saint Joseph's,Atlantic 10,DI,45.00,0,0,0,0,9,45,0,0,0,0,0,0,0,0,0,0,0,0
154,Dayton,Atlantic 10,FCS,25.00,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0
4,BYU,Big 12,FBS,309.50,2,90,11,66,0,0,12,64.5,0,0,9,64,0,0,33,25,0,0
11,Colorado,Big 12,FBS,244.50,13,63,10,67.5,0,0,0,0,0,0,9,64,0,0,17,50,0,0
25,Iowa State,Big 12,FBS,189.00,20,54,3,85,0,0,0,0,0,0,0,0,0,0,17,50,0,0
27,TCU,Big 12,FBS,178.00,0,0,0,0,0,0,26,45,0,0,3,83,0,0,17,50,0,0
29,West Virginia,Big 12,FBS,169.00,9,69,0,0,0,0,0,0,0,0,17,50,17,50,0,0,0,0
30,Oklahoma State,Big 12,FBS,164.50,12,64.5,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Utah,Big 12,FBS,143.50,17,57,0,0,0,0,14,61.5,0,0,0,0,0,0,33,25,0,0
52,Kansas,Big 12,FBS,128.00,0,0,0,0,0,0,0,0,0,0,9,64,0,0,9,64,0,0
55,Texas Tech,Big 12,FBS,122.00,0,0,0,0,0,0,7,72,0,0,17,50,0,0,0,0,0,0
58,Baylor,Big 12,FBS,114.00,0,0,0,0,0,0,0,0,0,0,9,64,0,0,17,50,0,0
64,UCF,Big 12,FBS,100.00,0,0,0,0,0,0,0,0,0,0,17,50,17,50,0,0,0,0
75,Arizona State,Big 12,FBS,89.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,9,64,0,0
84,Arizona,Big 12,FBS,75.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,17,50,0,0
113,Houston,Big 12,FBS,55.00,0,0,0,0,0,0,19,55,0,0,0,0,0,0,0,0,0,0
117,Cincinnati,Big 12,FBS,53.00,33,28,0,0,0,0,54,25,0,0,0,0,0,0,0,0,0,0
126,Kansas State,Big 12,FBS,50.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0
33,Villanova,Big East,FCS,159.00,25,49,33,27,0,0,0,0,3,83,0,0,0,0,0,0,0,0
34,UConn,Big East,FBS,154.00,0,0,0,0,5,65,54,25,0,0,0,0,9,64,0,0,0,0
12,Georgetown,Big East,FCS,242.50,14,61.5,30,44,0,0,0,0,0,0,9,64,5,73,0,0,0,0
84,Xavier,Big East,DI,75.00,0,0,0,0,0,0,0,0,0,0,17,50,0,0,33,25,0,0
91,Creighton,Big East,DI,73.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,73,0,0
105,Providence,Big East,DI,69.00,32,42,33,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Butler,Big East,FCS,58.50,0,0,16,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Marquette,Big East,DI,50.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0
126,Seton Hall,Big East,DI,50.00,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0
154,St. John's (NY),Big East,DI,25.00,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0
44,Northern Arizona,Big Sky,FCS,141.00,8,70.5,8,70.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Montana,Big Sky,FCS,108.00,0,0,0,0,0,0,0,0,3,83,33,25,0,0,0,0,0,0
64,Montana State,Big Sky,FCS,100.00,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0
154,Northern Colorado,Big Sky,FCS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,5,25
