Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33
,,,,Total,W. BB,,M. BB,,W. Fencing,,M. Fencing,,,W. IHoc.,Rifle,,Skiing,,W. SW,,M. SW,,W. In. T&F,,M. In. T&F,,W. WR,,M. WR,,Winter,Fall
Rank,Institution,Conference,Division,Points,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total
1,North Carolina,ACC,FBS,781.50,9,64,33,25,15,45,7,69,0,0,0,0,0,0,24,50,19,55,36,38,39,34,0,0,31,42.5,422.50,359.00
2,Stanford,ACC,FBS,746.25,0,0,0,0,10,60,15,45,0,0,0,0,0,0,2,90,10,67.5,12,63.75,0,0,0,0,6,73.5,399.75,346.50
3,Virginia,ACC,FBS,696.75,9,64,17,50,0,0,0,0,0,0,0,0,0,0,1,100,9,69,0,0,12,63.75,0,0,62,10.5,357.25,339.50
7,Notre Dame,ACC,FBS,644.00,5,73,0,0,1,100,1,100,0,0,0,0,0,0,33,38,37,32,0,0,0,0,0,0,0,0,343.00,301.00
8,Duke,ACC,FBS,638.50,5,73,5,73,11,57,6,72,0,0,0,0,0,0,21,52,0,0,37,34.5,0,0,0,0,52,20,381.50,257.00
12,North Carolina State,ACC,FBS,549.50,17,50,65,5,0,0,0,0,0,0,0,0,0,0,9,69,6,73.5,23,49.5,0,0,0,0,10,67.5,314.50,235.00
14,Louisville,ACC,FBS,538.00,9,64,17,50,0,0,0,0,0,0,0,0,0,0,8,70.5,12,64.5,43,29,19,53,0,0,0,0,331.00,207.00
48,Virginia Tech,ACC,FBS,305.50,33,25,0,0,0,0,0,0,0,0,0,0,0,0,37,30,11,66,0,0,17,57,0,0,11,66,244.00,61.50
52,Miami (FL),ACC,FBS,299.00,0,0,17,50,0,0,0,0,0,0,0,0,0,0,18,56,21,53,0,0,0,0,0,0,0,0,159.00,140.00
54,Pittsburgh,ACC,FBS,267.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,57.75,20,54,0,0,0,0,0,0,26,48,159.75,108.00
58,Wake Forest,ACC,FBS,257.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,257.50
60,Syracuse,ACC,FBS,248.00,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,198
61,SMU,ACC,FBS,243.00,0,0,65,5,0,0,0,0,0,0,0,0,0,0,0,0,23,51,0,0,0,0,0,0,0,0,56.00,187.00
63,Florida State,ACC,FBS,241.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,43,25,49,23,49.5,0,0,0,0,0,0,141.50,100.00
69,Clemson,ACC,FBS,216.75,33,25,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,66.75,0,0,0,0,0,0,116.75,100.00
73,California,ACC,FBS,211.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,80,7,72,37,34.5,0,0,0,0,0,0,186.50,25.00
78,Boston College,ACC,FBS,165.00,0,0,0,0,20,34,14,48,0,0,0,0,18,38,0,0,0,0,0,0,0,0,0,0,0,0,120.00,45.00
105,Georgia Tech,ACC,FBS,111.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,0,0,0,0,0,0,0,0,36.00,75.00
84,Vermont,America East,DI,150.00,33,25,0,0,0,0,0,0,0,0,0,0,5,75,0,0,0,0,0,0,0,0,0,0,0,0,100.00,50.00
95,New Hampshire,America East,FCS,133.00,0,0,0,0,0,0,0,0,0,0,0,0,9,63,0,0,0,0,0,0,0,0,0,0,0,0,63.00,70.00
149,Bryant,America East,FCS,64.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,64.00
168,NJIT,America East,DI,51.00,0,0,0,0,0,0,13,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.00,0.00
199,UMBC,America East,DI,30.00,0,0,65,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00,25.00
204,Maine,America East,FCS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,25.00
249,Binghamton,America East,DI,24.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,24,24.00,0.00
91,Tulane,American,FBS,137.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,137.00
104,UTSA,American,FBS,113.50,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,18.5,0,0,0,0,0,0,43.50,70.00
129,Memphis,American,FBS,75.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,75.00
129,South Florida,American,FBS,75.00,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00,50.00
153,East Carolina,American,FBS,62.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,17,0,0,0,0,0,0,0,0,0,0,17.00,45.00
158,North Texas,American,FBS,56.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,11,0,0,0,0,0,0,0,0,0,0,11.00,45.00
165,Tulsa,American,FBS,52.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,52.00
169,Rice,American,FBS,50.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
204,FAU,American,FBS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,25.00
113,Eastern Kentucky,ASUN,FCS,98.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,29,0,0,0,0,0,0,29.00,69.00
127,Lipscomb,ASUN,DI,77.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,77.00
204,Central Arkansas,ASUN,FCS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,25.00
204,Jacksonville,ASUN,DI,25.00,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00,0.00
204,North Florida,ASUN,DI,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,25.00
204,Queens (N.C.),ASUN,DI,25.00,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00,0.00
255,Bellarmine,ASUN,DI,15.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,15,15.00,0.00
95,Saint Louis,Atlantic 10,DI,133.00,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.00,83.00
124,Rhode Island,Atlantic 10,FCS,78.00,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00,53.00
160,Fordham,Atlantic 10,FCS,55.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,55.00
165,Loyola Chicago,Atlantic 10,DI,52.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,52.00
169,VCU,Atlantic 10,DI,50.00,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.00,0.00
187,Saint Joseph's,Atlantic 10,DI,45.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,45.00
195,George Mason,Atlantic 10,DI,39.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,39,39.00,0.00
204,Dayton,Atlantic 10,FCS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,25.00
258,Richmond,Atlantic 10,FCS,5.00,65,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00,0.00
21,BYU,Big 12,FBS,479.25,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,74.25,7,70.5,0,0,0,0,169.75,309.50
29,Iowa State,Big 12,FBS,437.75,33,25,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,59.25,42,30,0,0,8,70.5,248.75,189.00
32,TCU,Big 12,FBS,420.00,5,73,17,50,0,0,0,0,0,0,2,90,0,0,0,0,0,0,43,29,0,0,0,0,0,0,242.00,178.00
